rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
28/06/2022 14:33,202204,HEATHROW,31915188,109287849,9471550,29852604
28/06/2022 14:33,202204,GATWICK,12642069,109287849,2864666,29852604
28/06/2022 14:33,202204,STANSTED,12207377,109287849,3139140,29852604
28/06/2022 14:33,202204,MANCHESTER,10929339,109287849,2889612,29852604
28/06/2022 14:33,202204,LUTON,7342998,109287849,3013982,29852604
28/06/2022 14:33,202204,EDINBURGH,5349868,109287849,1217138,29852604
28/06/2022 14:33,202204,BIRMINGHAM,4385587,109287849,1000387,29852604
28/06/2022 14:33,202204,BRISTOL,3741116,109287849,841977,29852604
28/06/2022 14:33,202204,BELFAST INTERNATIONAL,3498877,109287849,881732,29852604
28/06/2022 14:33,202204,GLASGOW,3437945,109287849,705405,29852604
28/06/2022 14:33,202204,LIVERPOOL (JOHN LENNON),1944091,109287849,545810,29852604
28/06/2022 14:33,202204,NEWCASTLE,1765969,109287849,396361,29852604
28/06/2022 14:33,202204,EAST MIDLANDS INTERNATIONAL,1389055,109287849,412504,29852604
28/06/2022 14:33,202204,ABERDEEN,1380953,109287849,653509,29852604
28/06/2022 14:33,202204,LONDON CITY,1334786,109287849,125568,29852604
28/06/2022 14:33,202204,LEEDS BRADFORD,1317164,109287849,296939,29852604
28/06/2022 14:33,202204,BELFAST CITY (GEORGE BEST),1101474,109287849,283557,29852604
28/06/2022 14:33,202204,INVERNESS,511700,109287849,105719,29852604
28/06/2022 14:33,202204,DONCASTER SHEFFIELD,481155,109287849,187656,29852604
28/06/2022 14:33,202204,SOUTHAMPTON,390431,109287849,75093,29852604
28/06/2022 14:33,202204,BOURNEMOUTH,345097,109287849,68043,29852604
28/06/2022 14:33,202204,CARDIFF WALES,239902,109287849,48802,29852604
28/06/2022 14:33,202204,SUMBURGH,211288,109287849,111696,29852604
28/06/2022 14:33,202204,EXETER,195483,109287849,29921,29852604
28/06/2022 14:33,202204,PRESTWICK,165233,109287849,46037,29852604
28/06/2022 14:33,202204,NORWICH,155476,109287849,76946,29852604
28/06/2022 14:33,202204,NEWQUAY,141840,109287849,24264,29852604
28/06/2022 14:33,202204,CITY OF DERRY (EGLINTON),106908,109287849,46377,29852604
28/06/2022 14:33,202204,KIRKWALL,96873,109287849,36692,29852604
28/06/2022 14:33,202204,TEESSIDE INTERNATIONAL AIRPORT,95895,109287849,16601,29852604
28/06/2022 14:33,202204,SOUTHEND,93920,109287849,78134,29852604
28/06/2022 14:33,202204,ISLES OF SCILLY (ST.MARYS),84390,109287849,39724,29852604
28/06/2022 14:33,202204,STORNOWAY,81519,109287849,24501,29852604
28/06/2022 14:33,202204,LANDS END (ST JUST),62186,109287849,31767,29852604
28/06/2022 14:33,202204,HUMBERSIDE,39787,109287849,18492,29852604
28/06/2022 14:33,202204,DUNDEE,27935,109287849,4822,29852604
28/06/2022 14:33,202204,BENBECULA,25576,109287849,8763,29852604
28/06/2022 14:33,202204,ISLAY,18226,109287849,4890,29852604
28/06/2022 14:33,202204,BARRA,12433,109287849,4743,29852604
28/06/2022 14:33,202204,TIREE,10199,109287849,4058,29852604
28/06/2022 14:33,202204,CAMPBELTOWN,3744,109287849,1405,29852604
28/06/2022 14:33,202204,BIGGIN HILL,3090,109287849,1954,29852604
28/06/2022 14:33,202204,LERWICK (TINGWALL),2713,109287849,1063,29852604
28/06/2022 14:33,202204,WICK JOHN O GROATS,522,109287849,8,29852604
28/06/2022 14:33,202204,OXFORD (KIDLINGTON),441,109287849,629,29852604
28/06/2022 14:33,202204,LYDD,31,109287849,0,29852604
28/06/2022 14:33,202204,BLACKPOOL,0,109287849,6736,29852604
28/06/2022 14:33,202204,GLOUCESTERSHIRE,0,109287849,5,29852604
28/06/2022 14:33,202204,SCATSTA,0,109287849,7226,29852604

