rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
09/02/2022 08:51,202108,HEATHROW,11983413,38225009,44418786,154864692
09/02/2022 08:51,202108,STANSTED,4021557,38225009,15096846,154864692
09/02/2022 08:51,202108,GATWICK,3532323,38225009,23395708,154864692
09/02/2022 08:51,202108,MANCHESTER,3457078,38225009,14819900,154864692
09/02/2022 08:51,202108,LUTON,3251592,38225009,10261887,154864692
09/02/2022 08:51,202108,EDINBURGH,1611463,38225009,7618327,154864692
09/02/2022 08:51,202108,BELFAST INTERNATIONAL,1457623,38225009,3248218,154864692
09/02/2022 08:51,202108,BIRMINGHAM,1333756,38225009,6341254,154864692
09/02/2022 08:51,202108,GLASGOW,1120607,38225009,4373678,154864692
09/02/2022 08:51,202108,BRISTOL,1086200,38225009,4624306,154864692
09/02/2022 08:51,202108,ABERDEEN,833985,38225009,1701535,154864692
09/02/2022 08:51,202108,LIVERPOOL (JOHN LENNON),696562,38225009,2689366,154864692
09/02/2022 08:51,202108,BELFAST CITY (GEORGE BEST),542684,38225009,1159483,154864692
09/02/2022 08:51,202108,NEWCASTLE,528849,38225009,2481720,154864692
09/02/2022 08:51,202108,EAST MIDLANDS INTERNATIONAL,457876,38225009,2088753,154864692
09/02/2022 08:51,202108,LEEDS BRADFORD,374051,38225009,1823759,154864692
09/02/2022 08:51,202108,LONDON CITY,281978,38225009,2559696,154864692
09/02/2022 08:51,202108,INVERNESS,221100,38225009,488507,154864692
09/02/2022 08:51,202108,DONCASTER SHEFFIELD,201979,38225009,692310,154864692
09/02/2022 08:51,202108,SUMBURGH,154013,38225009,155083,154864692
09/02/2022 08:51,202108,SOUTHAMPTON,148082,38225009,805755,154864692
09/02/2022 08:51,202108,NORWICH,103026,38225009,254049,154864692
09/02/2022 08:51,202108,BOURNEMOUTH,97018,38225009,404335,154864692
09/02/2022 08:51,202108,NEWQUAY,80684,38225009,183095,154864692
09/02/2022 08:51,202108,SOUTHEND,68202,38225009,1075323,154864692
09/02/2022 08:51,202108,ISLES OF SCILLY (ST.MARYS),67591,38225009,44866,154864692
09/02/2022 08:51,202108,EXETER,65448,38225009,445541,154864692
09/02/2022 08:51,202108,CARDIFF WALES,63046,38225009,677997,154864692
09/02/2022 08:51,202108,CITY OF DERRY (EGLINTON),60134,38225009,130429,154864692
09/02/2022 08:51,202108,KIRKWALL,58172,38225009,89931,154864692
09/02/2022 08:51,202108,LANDS END (ST JUST),49584,38225009,35697,154864692
09/02/2022 08:51,202108,TEESSIDE INTERNATIONAL AIRPORT,44124,38225009,29991,154864692
09/02/2022 08:51,202108,STORNOWAY,42862,38225009,75897,154864692
09/02/2022 08:51,202108,PRESTWICK,41728,38225009,260475,154864692
09/02/2022 08:51,202108,HUMBERSIDE,23431,38225009,101055,154864692
09/02/2022 08:51,202108,BENBECULA,15432,38225009,19975,154864692
09/02/2022 08:51,202108,DUNDEE,12500,38225009,12672,154864692
09/02/2022 08:51,202108,ISLAY,8825,38225009,16527,154864692
09/02/2022 08:51,202108,BARRA,8642,38225009,8309,154864692
09/02/2022 08:51,202108,TIREE,7046,38225009,6652,154864692
09/02/2022 08:51,202108,BLACKPOOL,2978,38225009,13717,154864692
09/02/2022 08:51,202108,CAMPBELTOWN,2784,38225009,3609,154864692
09/02/2022 08:51,202108,BIGGIN HILL,2242,38225009,1998,154864692
09/02/2022 08:51,202108,LERWICK (TINGWALL),1993,38225009,1821,154864692
09/02/2022 08:51,202108,OXFORD (KIDLINGTON),710,38225009,310,154864692
09/02/2022 08:51,202108,LYDD,31,38225009,3,154864692
09/02/2022 08:51,202108,GLOUCESTERSHIRE,5,38225009,0,154864692
09/02/2022 08:51,202108,DURHAM TEES VALLEY,0,38225009,49422,154864692
09/02/2022 08:51,202108,SCATSTA,0,38225009,70430,154864692
09/02/2022 08:51,202108,WICK JOHN O GROATS,0,38225009,5689,154864692

