rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
18/02/2022 12:00,202112,HEATHROW,19392178,64383158,22109550,73761978
18/02/2022 12:00,202112,STANSTED,7145802,64383158,7536869,73761978
18/02/2022 12:00,202112,GATWICK,6260072,64383158,10171867,73761978
18/02/2022 12:00,202112,MANCHESTER,6082905,64383158,7029384,73761978
18/02/2022 12:00,202112,LUTON,4673656,64383158,5550401,73761978
18/02/2022 12:00,202112,EDINBURGH,3023614,64383158,3473652,73761978
18/02/2022 12:00,202112,BIRMINGHAM,2476584,64383158,2865845,73761978
18/02/2022 12:00,202112,BELFAST INTERNATIONAL,2327139,64383158,1746951,73761978
18/02/2022 12:00,202112,BRISTOL,2085745,64383158,2192725,73761978
18/02/2022 12:00,202112,GLASGOW,2071008,64383158,1944981,73761978
18/02/2022 12:00,202112,LIVERPOOL (JOHN LENNON),1165508,64383158,1337669,73761978
18/02/2022 12:00,202112,ABERDEEN,1075639,64383158,994076,73761978
18/02/2022 12:00,202112,NEWCASTLE,1022540,64383158,1061146,73761978
18/02/2022 12:00,202112,EAST MIDLANDS INTERNATIONAL,828224,64383158,900832,73761978
18/02/2022 12:00,202112,BELFAST CITY (GEORGE BEST),812397,64383158,542523,73761978
18/02/2022 12:00,202112,LEEDS BRADFORD,734830,64383158,751048,73761978
18/02/2022 12:00,202112,LONDON CITY,720580,64383158,908105,73761978
18/02/2022 12:00,202112,INVERNESS,357141,64383158,239987,73761978
18/02/2022 12:00,202112,DONCASTER SHEFFIELD,309326,64383158,338586,73761978
18/02/2022 12:00,202112,SOUTHAMPTON,263131,64383158,296094,73761978
18/02/2022 12:00,202112,BOURNEMOUTH,200488,64383158,175907,73761978
18/02/2022 12:00,202112,SUMBURGH,182320,64383158,113951,73761978
18/02/2022 12:00,202112,NORWICH,127208,64383158,120258,73761978
18/02/2022 12:00,202112,EXETER,126837,64383158,147921,73761978
18/02/2022 12:00,202112,CARDIFF WALES,122729,64383158,219197,73761978
18/02/2022 12:00,202112,NEWQUAY,105479,64383158,67877,73761978
18/02/2022 12:00,202112,SOUTHEND,94367,64383158,401143,73761978
18/02/2022 12:00,202112,PRESTWICK,77807,64383158,90608,73761978
18/02/2022 12:00,202112,KIRKWALL,75777,64383158,54638,73761978
18/02/2022 12:00,202112,CITY OF DERRY (EGLINTON),73024,64383158,80494,73761978
18/02/2022 12:00,202112,ISLES OF SCILLY (ST.MARYS),72291,64383158,41766,73761978
18/02/2022 12:00,202112,TEESSIDE INTERNATIONAL AIRPORT,72151,64383158,37141,73761978
18/02/2022 12:00,202112,STORNOWAY,60784,64383158,43093,73761978
18/02/2022 12:00,202112,LANDS END (ST JUST),53105,64383158,34556,73761978
18/02/2022 12:00,202112,HUMBERSIDE,31503,64383158,45075,73761978
18/02/2022 12:00,202112,BENBECULA,20320,64383158,12713,73761978
18/02/2022 12:00,202112,DUNDEE,19658,64383158,8647,73761978
18/02/2022 12:00,202112,ISLAY,12761,64383158,8693,73761978
18/02/2022 12:00,202112,BARRA,9954,64383158,6140,73761978
18/02/2022 12:00,202112,TIREE,8196,64383158,5221,73761978
18/02/2022 12:00,202112,CAMPBELTOWN,2881,64383158,2108,73761978
18/02/2022 12:00,202112,BIGGIN HILL,2612,64383158,1845,73761978
18/02/2022 12:00,202112,LERWICK (TINGWALL),2300,64383158,1227,73761978
18/02/2022 12:00,202112,OXFORD (KIDLINGTON),556,64383158,514,73761978
18/02/2022 12:00,202112,LYDD,31,64383158,0,73761978
18/02/2022 12:00,202112,BLACKPOOL,0,64383158,11412,73761978
18/02/2022 12:00,202112,GLOUCESTERSHIRE,0,64383158,5,73761978
18/02/2022 12:00,202112,SCATSTA,0,64383158,35624,73761978
18/02/2022 12:00,202112,WICK JOHN O GROATS,0,64383158,1913,73761978

