rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
13/04/2022 09:16,202202,HEATHROW,23715408,79335343,11707454,37985712
13/04/2022 09:16,202202,STANSTED,8822927,79335343,3900548,37985712
13/04/2022 09:16,202202,GATWICK,8205276,79335343,4440984,37985712
13/04/2022 09:16,202202,MANCHESTER,7755346,79335343,3680206,37985712
13/04/2022 09:16,202202,LUTON,5528498,79335343,3408675,37985712
13/04/2022 09:16,202202,EDINBURGH,3791452,79335343,1667429,37985712
13/04/2022 09:16,202202,BIRMINGHAM,3118856,79335343,1348282,37985712
13/04/2022 09:16,202202,BELFAST INTERNATIONAL,2798894,79335343,1026283,37985712
13/04/2022 09:16,202202,BRISTOL,2622800,79335343,1120345,37985712
13/04/2022 09:16,202202,GLASGOW,2547203,79335343,950299,37985712
13/04/2022 09:16,202202,LIVERPOOL (JOHN LENNON),1418409,79335343,715649,37985712
13/04/2022 09:16,202202,NEWCASTLE,1264845,79335343,536116,37985712
13/04/2022 09:16,202202,ABERDEEN,1185175,79335343,690180,37985712
13/04/2022 09:16,202202,EAST MIDLANDS INTERNATIONAL,992018,79335343,518844,37985712
13/04/2022 09:16,202202,BELFAST CITY (GEORGE BEST),931184,79335343,285355,37985712
13/04/2022 09:16,202202,LEEDS BRADFORD,902571,79335343,399355,37985712
13/04/2022 09:16,202202,LONDON CITY,901213,79335343,231007,37985712
13/04/2022 09:16,202202,INVERNESS,405974,79335343,136957,37985712
13/04/2022 09:16,202202,DONCASTER SHEFFIELD,358915,79335343,216672,37985712
13/04/2022 09:16,202202,SOUTHAMPTON,308361,79335343,92893,37985712
13/04/2022 09:16,202202,BOURNEMOUTH,246977,79335343,90834,37985712
13/04/2022 09:16,202202,SUMBURGH,193720,79335343,100568,37985712
13/04/2022 09:16,202202,EXETER,151841,79335343,43364,37985712
13/04/2022 09:16,202202,CARDIFF WALES,150122,79335343,75977,37985712
13/04/2022 09:16,202202,NORWICH,136366,79335343,81629,37985712
13/04/2022 09:16,202202,NEWQUAY,113707,79335343,29401,37985712
13/04/2022 09:16,202202,PRESTWICK,98110,79335343,56269,37985712
13/04/2022 09:16,202202,SOUTHEND,93920,79335343,146882,37985712
13/04/2022 09:16,202202,CITY OF DERRY (EGLINTON),88229,79335343,51257,37985712
13/04/2022 09:16,202202,KIRKWALL,84497,79335343,38071,37985712
13/04/2022 09:16,202202,TEESSIDE INTERNATIONAL AIRPORT,78510,79335343,18370,37985712
13/04/2022 09:16,202202,ISLES OF SCILLY (ST.MARYS),75245,79335343,37464,37985712
13/04/2022 09:16,202202,STORNOWAY,69337,79335343,27416,37985712
13/04/2022 09:16,202202,LANDS END (ST JUST),56041,79335343,30842,37985712
13/04/2022 09:16,202202,HUMBERSIDE,34333,79335343,22385,37985712
13/04/2022 09:16,202202,DUNDEE,22726,79335343,5398,37985712
13/04/2022 09:16,202202,BENBECULA,22659,79335343,8831,37985712
13/04/2022 09:16,202202,ISLAY,14521,79335343,5635,37985712
13/04/2022 09:16,202202,BARRA,11031,79335343,4897,37985712
13/04/2022 09:16,202202,TIREE,8961,79335343,4313,37985712
13/04/2022 09:16,202202,CAMPBELTOWN,3221,79335343,1518,37985712
13/04/2022 09:16,202202,BIGGIN HILL,2920,79335343,1690,37985712
13/04/2022 09:16,202202,LERWICK (TINGWALL),2442,79335343,1020,37985712
13/04/2022 09:16,202202,OXFORD (KIDLINGTON),551,79335343,519,37985712
13/04/2022 09:16,202202,LYDD,31,79335343,0,37985712
13/04/2022 09:16,202202,BLACKPOOL,0,79335343,8386,37985712
13/04/2022 09:16,202202,GLOUCESTERSHIRE,0,79335343,5,37985712
13/04/2022 09:16,202202,SCATSTA,0,79335343,18816,37985712
13/04/2022 09:16,202202,WICK JOHN O GROATS,0,79335343,422,37985712

