rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
17/03/2022 08:52,202201,HEATHROW,21313100,70162192,16687822,55877585
17/03/2022 08:52,202201,STANSTED,7706245,70162192,5737751,55877585
17/03/2022 08:52,202201,GATWICK,6970194,70162192,7367625,55877585
17/03/2022 08:52,202201,MANCHESTER,6700314,70162192,5381262,55877585
17/03/2022 08:52,202201,LUTON,5006847,70162192,4458186,55877585
17/03/2022 08:52,202201,EDINBURGH,3296888,70162192,2582744,55877585
17/03/2022 08:52,202201,BIRMINGHAM,2706711,70162192,2123982,55877585
17/03/2022 08:52,202201,BELFAST INTERNATIONAL,2518478,70162192,1396058,55877585
17/03/2022 08:52,202201,BRISTOL,2263695,70162192,1676413,55877585
17/03/2022 08:52,202201,GLASGOW,2256679,70162192,1462613,55877585
17/03/2022 08:52,202201,LIVERPOOL (JOHN LENNON),1252731,70162192,1044232,55877585
17/03/2022 08:52,202201,ABERDEEN,1120563,70162192,841644,55877585
17/03/2022 08:52,202201,NEWCASTLE,1116414,70162192,806335,55877585
17/03/2022 08:52,202201,EAST MIDLANDS INTERNATIONAL,881394,70162192,715049,55877585
17/03/2022 08:52,202201,BELFAST CITY (GEORGE BEST),857139,70162192,419458,55877585
17/03/2022 08:52,202201,LEEDS BRADFORD,792338,70162192,581518,55877585
17/03/2022 08:52,202201,LONDON CITY,780943,70162192,579805,55877585
17/03/2022 08:52,202201,INVERNESS,377709,70162192,190678,55877585
17/03/2022 08:52,202201,DONCASTER SHEFFIELD,331855,70162192,276316,55877585
17/03/2022 08:52,202201,SOUTHAMPTON,280252,70162192,198131,55877585
17/03/2022 08:52,202201,BOURNEMOUTH,215242,70162192,133147,55877585
17/03/2022 08:52,202201,SUMBURGH,187781,70162192,107138,55877585
17/03/2022 08:52,202201,EXETER,136846,70162192,97332,55877585
17/03/2022 08:52,202201,CARDIFF WALES,132802,70162192,151651,55877585
17/03/2022 08:52,202201,NORWICH,131459,70162192,100627,55877585
17/03/2022 08:52,202201,NEWQUAY,108196,70162192,48230,55877585
17/03/2022 08:52,202201,SOUTHEND,93920,70162192,277128,55877585
17/03/2022 08:52,202201,PRESTWICK,84041,70162192,73250,55877585
17/03/2022 08:52,202201,KIRKWALL,79571,70162192,46313,55877585
17/03/2022 08:52,202201,CITY OF DERRY (EGLINTON),79205,70162192,66406,55877585
17/03/2022 08:52,202201,TEESSIDE INTERNATIONAL AIRPORT,74336,70162192,27648,55877585
17/03/2022 08:52,202201,ISLES OF SCILLY (ST.MARYS),73552,70162192,39805,55877585
17/03/2022 08:52,202201,STORNOWAY,64138,70162192,35784,55877585
17/03/2022 08:52,202201,LANDS END (ST JUST),54361,70162192,32840,55877585
17/03/2022 08:52,202201,HUMBERSIDE,33031,70162192,33720,55877585
17/03/2022 08:52,202201,BENBECULA,21160,70162192,11008,55877585
17/03/2022 08:52,202201,DUNDEE,20892,70162192,6990,55877585
17/03/2022 08:52,202201,ISLAY,13475,70162192,7353,55877585
17/03/2022 08:52,202201,BARRA,10440,70162192,5543,55877585
17/03/2022 08:52,202201,TIREE,8554,70162192,4775,55877585
17/03/2022 08:52,202201,CAMPBELTOWN,3093,70162192,1825,55877585
17/03/2022 08:52,202201,BIGGIN HILL,2657,70162192,1814,55877585
17/03/2022 08:52,202201,LERWICK (TINGWALL),2369,70162192,1124,55877585
17/03/2022 08:52,202201,OXFORD (KIDLINGTON),551,70162192,519,55877585
17/03/2022 08:52,202201,LYDD,31,70162192,0,55877585
17/03/2022 08:52,202201,BLACKPOOL,0,70162192,9866,55877585
17/03/2022 08:52,202201,GLOUCESTERSHIRE,0,70162192,5,55877585
17/03/2022 08:52,202201,SCATSTA,0,70162192,26906,55877585
17/03/2022 08:52,202201,WICK JOHN O GROATS,0,70162192,1216,55877585

