rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
06/10/2022 16:45,202207,HEATHROW,46414712,166583017,11169788,35925219
06/10/2022 16:45,202207,GATWICK,22178268,166583017,3410020,35925219
06/10/2022 16:45,202207,STANSTED,17971616,166583017,3779989,35925219
06/10/2022 16:45,202207,MANCHESTER,17350657,166583017,3270170,35925219
06/10/2022 16:45,202207,LUTON,10502839,166583017,3314374,35925219
06/10/2022 16:45,202207,EDINBURGH,8333064,166583017,1545888,35925219
06/10/2022 16:45,202207,BIRMINGHAM,7067165,166583017,1192806,35925219
06/10/2022 16:45,202207,BRISTOL,6056446,166583017,1027638,35925219
06/10/2022 16:45,202207,GLASGOW,5122931,166583017,1031796,35925219
06/10/2022 16:45,202207,BELFAST INTERNATIONAL,4392873,166583017,1329726,35925219
06/10/2022 16:45,202207,NEWCASTLE,3033463,166583017,486777,35925219
06/10/2022 16:45,202207,LIVERPOOL (JOHN LENNON),2799207,166583017,663969,35925219
06/10/2022 16:45,202207,EAST MIDLANDS INTERNATIONAL,2458985,166583017,429122,35925219
06/10/2022 16:45,202207,LEEDS BRADFORD,2399082,166583017,328655,35925219
06/10/2022 16:45,202207,LONDON CITY,2163448,166583017,217221,35925219
06/10/2022 16:45,202207,ABERDEEN,1682352,166583017,780525,35925219
06/10/2022 16:45,202207,BELFAST CITY (GEORGE BEST),1333220,166583017,448771,35925219
06/10/2022 16:45,202207,DONCASTER SHEFFIELD,819817,166583017,200762,35925219
06/10/2022 16:45,202207,INVERNESS,632425,166583017,190741,35925219
06/10/2022 16:45,202207,BOURNEMOUTH,574019,166583017,80838,35925219
06/10/2022 16:45,202207,CARDIFF WALES,560477,166583017,60721,35925219
06/10/2022 16:45,202207,SOUTHAMPTON,518181,166583017,119144,35925219
06/10/2022 16:45,202207,PRESTWICK,318249,166583017,42224,35925219
06/10/2022 16:45,202207,EXETER,303160,166583017,54846,35925219
06/10/2022 16:45,202207,NORWICH,234182,166583017,91511,35925219
06/10/2022 16:45,202207,SUMBURGH,234135,166583017,144919,35925219
06/10/2022 16:45,202207,NEWQUAY,193416,166583017,59004,35925219
06/10/2022 16:45,202207,CITY OF DERRY (EGLINTON),135872,166583017,58489,35925219
06/10/2022 16:45,202207,TEESSIDE INTERNATIONAL AIRPORT,135838,166583017,34897,35925219
06/10/2022 16:45,202207,SOUTHEND,120212,166583017,76207,35925219
06/10/2022 16:45,202207,KIRKWALL,113009,166583017,53068,35925219
06/10/2022 16:45,202207,STORNOWAY,92397,166583017,38915,35925219
06/10/2022 16:45,202207,ISLES OF SCILLY (ST.MARYS),86352,166583017,63481,35925219
06/10/2022 16:45,202207,LANDS END (ST JUST),64080,166583017,47029,35925219
06/10/2022 16:45,202207,HUMBERSIDE,63078,166583017,22187,35925219
06/10/2022 16:45,202207,DUNDEE,32666,166583017,10654,35925219
06/10/2022 16:45,202207,BENBECULA,27633,166583017,14156,35925219
06/10/2022 16:45,202207,ISLAY,22512,166583017,7988,35925219
06/10/2022 16:45,202207,BARRA,12714,166583017,8172,35925219
06/10/2022 16:45,202207,TIREE,10930,166583017,6601,35925219
06/10/2022 16:45,202207,CAMPBELTOWN,4434,166583017,2442,35925219
06/10/2022 16:45,202207,BIGGIN HILL,4063,166583017,2092,35925219
06/10/2022 16:45,202207,WICK JOHN O GROATS,2903,166583017,0,35925219
06/10/2022 16:45,202207,LERWICK (TINGWALL),2891,166583017,1804,35925219
06/10/2022 16:45,202207,BLACKPOOL,2747,166583017,4402,35925219
06/10/2022 16:45,202207,OXFORD (KIDLINGTON),297,166583017,654,35925219
06/10/2022 16:45,202207,GLOUCESTERSHIRE,0,166583017,5,35925219
06/10/2022 16:45,202207,LYDD,0,166583017,31,35925219

