rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
16/08/2022 17:54,202206,HEATHROW,41613797,147685064,10525820,33873801
16/08/2022 17:54,202206,GATWICK,18825585,147685064,3195862,33873801
16/08/2022 17:54,202206,STANSTED,16190469,147685064,3556798,33873801
16/08/2022 17:54,202206,MANCHESTER,15191266,147685064,3154655,33873801
16/08/2022 17:54,202206,LUTON,9479352,147685064,3362554,33873801
16/08/2022 17:54,202206,EDINBURGH,7345901,147685064,1445558,33873801
16/08/2022 17:54,202206,BIRMINGHAM,6168519,147685064,1124279,33873801
16/08/2022 17:54,202206,BRISTOL,5305749,147685064,966225,33873801
16/08/2022 17:54,202206,GLASGOW,4577711,147685064,900414,33873801
16/08/2022 17:54,202206,BELFAST INTERNATIONAL,4158029,147685064,1158377,33873801
16/08/2022 17:54,202206,NEWCASTLE,2613359,147685064,453123,33873801
16/08/2022 17:54,202206,LIVERPOOL (JOHN LENNON),2531169,147685064,628876,33873801
16/08/2022 17:54,202206,EAST MIDLANDS INTERNATIONAL,2116057,147685064,434082,33873801
16/08/2022 17:54,202206,LEEDS BRADFORD,2048515,147685064,315190,33873801
16/08/2022 17:54,202206,LONDON CITY,1889593,147685064,175976,33873801
16/08/2022 17:54,202206,ABERDEEN,1593915,147685064,738064,33873801
16/08/2022 17:54,202206,BELFAST CITY (GEORGE BEST),1266011,147685064,374121,33873801
16/08/2022 17:54,202206,DONCASTER SHEFFIELD,702100,147685064,208637,33873801
16/08/2022 17:54,202206,INVERNESS,602628,147685064,153787,33873801
16/08/2022 17:54,202206,BOURNEMOUTH,495043,147685064,78946,33873801
16/08/2022 17:54,202206,SOUTHAMPTON,475121,147685064,98445,33873801
16/08/2022 17:54,202206,CARDIFF WALES,448334,147685064,54058,33873801
16/08/2022 17:54,202206,EXETER,269204,147685064,43503,33873801
16/08/2022 17:54,202206,PRESTWICK,269076,147685064,48949,33873801
16/08/2022 17:54,202206,SUMBURGH,227523,147685064,136517,33873801
16/08/2022 17:54,202206,NORWICH,209976,147685064,85556,33873801
16/08/2022 17:54,202206,NEWQUAY,178920,147685064,38138,33873801
16/08/2022 17:54,202206,CITY OF DERRY (EGLINTON),124313,147685064,55842,33873801
16/08/2022 17:54,202206,TEESSIDE INTERNATIONAL AIRPORT,123596,147685064,26936,33873801
16/08/2022 17:54,202206,SOUTHEND,118528,147685064,82547,33873801
16/08/2022 17:54,202206,KIRKWALL,108655,147685064,47523,33873801
16/08/2022 17:54,202206,STORNOWAY,90111,147685064,33452,33873801
16/08/2022 17:54,202206,ISLES OF SCILLY (ST.MARYS),88315,147685064,56147,33873801
16/08/2022 17:54,202206,LANDS END (ST JUST),64685,147685064,42606,33873801
16/08/2022 17:54,202206,HUMBERSIDE,55360,147685064,20701,33873801
16/08/2022 17:54,202206,DUNDEE,31463,147685064,8281,33873801
16/08/2022 17:54,202206,BENBECULA,27486,147685064,12106,33873801
16/08/2022 17:54,202206,ISLAY,21468,147685064,6865,33873801
16/08/2022 17:54,202206,BARRA,12606,147685064,7148,33873801
16/08/2022 17:54,202206,TIREE,10842,147685064,5717,33873801
16/08/2022 17:54,202206,CAMPBELTOWN,4374,147685064,2018,33873801
16/08/2022 17:54,202206,BIGGIN HILL,3477,147685064,2160,33873801
16/08/2022 17:54,202206,LERWICK (TINGWALL),2792,147685064,1640,33873801
16/08/2022 17:54,202206,WICK JOHN O GROATS,2115,147685064,0,33873801
16/08/2022 17:54,202206,BLACKPOOL,1578,147685064,4932,33873801
16/08/2022 17:54,202206,OXFORD (KIDLINGTON),347,147685064,665,33873801
16/08/2022 17:54,202206,LYDD,31,147685064,0,33873801
16/08/2022 17:54,202206,GLOUCESTERSHIRE,0,147685064,5,33873801

