rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
20/05/2022 16:56,202203,HEATHROW,27369976,92064995,9142110,28992589
20/05/2022 16:56,202203,STANSTED,10271113,92064995,3068006,28992589
20/05/2022 16:56,202203,GATWICK,9915369,92064995,2825414,28992589
20/05/2022 16:56,202203,MANCHESTER,9124284,92064995,2832522,28992589
20/05/2022 16:56,202203,LUTON,6263505,92064995,2919422,28992589
20/05/2022 16:56,202203,EDINBURGH,4450603,92064995,1190075,28992589
20/05/2022 16:56,202203,BIRMINGHAM,3667618,92064995,977867,28992589
20/05/2022 16:56,202203,BELFAST INTERNATIONAL,3122825,92064995,826316,28992589
20/05/2022 16:56,202203,BRISTOL,3098385,92064995,829448,28992589
20/05/2022 16:56,202203,GLASGOW,2950533,92064995,678592,28992589
20/05/2022 16:56,202203,LIVERPOOL (JOHN LENNON),1636420,92064995,535442,28992589
20/05/2022 16:56,202203,NEWCASTLE,1468226,92064995,384157,28992589
20/05/2022 16:56,202203,ABERDEEN,1274005,92064995,629085,28992589
20/05/2022 16:56,202203,EAST MIDLANDS INTERNATIONAL,1140099,92064995,412485,28992589
20/05/2022 16:56,202203,LONDON CITY,1087776,92064995,114729,28992589
20/05/2022 16:56,202203,LEEDS BRADFORD,1066589,92064995,295734,28992589
20/05/2022 16:56,202203,BELFAST CITY (GEORGE BEST),1018989,92064995,257309,28992589
20/05/2022 16:56,202203,INVERNESS,449163,92064995,104049,28992589
20/05/2022 16:56,202203,DONCASTER SHEFFIELD,403696,92064995,184002,28992589
20/05/2022 16:56,202203,SOUTHAMPTON,346861,92064995,71675,28992589
20/05/2022 16:56,202203,BOURNEMOUTH,284412,92064995,67958,28992589
20/05/2022 16:56,202203,SUMBURGH,202003,92064995,101232,28992589
20/05/2022 16:56,202203,CARDIFF WALES,186070,92064995,48300,28992589
20/05/2022 16:56,202203,EXETER,169946,92064995,28304,28992589
20/05/2022 16:56,202203,NORWICH,145076,92064995,73548,28992589
20/05/2022 16:56,202203,NEWQUAY,123048,92064995,24232,28992589
20/05/2022 16:56,202203,PRESTWICK,118053,92064995,46038,28992589
20/05/2022 16:56,202203,CITY OF DERRY (EGLINTON),97458,92064995,43183,28992589
20/05/2022 16:56,202203,SOUTHEND,93920,92064995,78275,28992589
20/05/2022 16:56,202203,KIRKWALL,89622,92064995,34089,28992589
20/05/2022 16:56,202203,TEESSIDE INTERNATIONAL AIRPORT,83921,92064995,14714,28992589
20/05/2022 16:56,202203,ISLES OF SCILLY (ST.MARYS),78594,92064995,35843,28992589
20/05/2022 16:56,202203,STORNOWAY,75250,92064995,22697,28992589
20/05/2022 16:56,202203,LANDS END (ST JUST),58635,92064995,28721,28992589
20/05/2022 16:56,202203,HUMBERSIDE,36267,92064995,17630,28992589
20/05/2022 16:56,202203,DUNDEE,25267,92064995,4583,28992589
20/05/2022 16:56,202203,BENBECULA,24192,92064995,7845,28992589
20/05/2022 16:56,202203,ISLAY,16417,92064995,4643,28992589
20/05/2022 16:56,202203,BARRA,11814,92064995,4423,28992589
20/05/2022 16:56,202203,TIREE,9536,92064995,3829,28992589
20/05/2022 16:56,202203,CAMPBELTOWN,3468,92064995,1297,28992589
20/05/2022 16:56,202203,BIGGIN HILL,2857,92064995,1888,28992589
20/05/2022 16:56,202203,LERWICK (TINGWALL),2552,92064995,939,28992589
20/05/2022 16:56,202203,OXFORD (KIDLINGTON),551,92064995,519,28992589
20/05/2022 16:56,202203,LYDD,31,92064995,0,28992589
20/05/2022 16:56,202203,BLACKPOOL,0,92064995,7386,28992589
20/05/2022 16:56,202203,GLOUCESTERSHIRE,0,92064995,5,28992589
20/05/2022 16:56,202203,SCATSTA,0,92064995,12021,28992589
20/05/2022 16:56,202203,WICK JOHN O GROATS,0,92064995,8,28992589

