rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
20/07/2022 13:09,202205,HEATHROW,36581047,127951826,9918746,31383296
20/07/2022 13:09,202205,GATWICK,15588974,127951826,2991100,31383296
20/07/2022 13:09,202205,STANSTED,14204042,127951826,3264250,31383296
20/07/2022 13:09,202205,MANCHESTER,12973876,127951826,2989632,31383296
20/07/2022 13:09,202205,LUTON,8387389,127951826,3164012,31383296
20/07/2022 13:09,202205,EDINBURGH,6337211,127951826,1288144,31383296
20/07/2022 13:09,202205,BIRMINGHAM,5218727,127951826,1043883,31383296
20/07/2022 13:09,202205,BRISTOL,4498702,127951826,883803,31383296
20/07/2022 13:09,202205,GLASGOW,4018189,127951826,779336,31383296
20/07/2022 13:09,202205,BELFAST INTERNATIONAL,3854094,127951826,998657,31383296
20/07/2022 13:09,202205,LIVERPOOL (JOHN LENNON),2245343,127951826,573100,31383296
20/07/2022 13:09,202205,NEWCASTLE,2166203,127951826,418945,31383296
20/07/2022 13:09,202205,EAST MIDLANDS INTERNATIONAL,1737959,127951826,414475,31383296
20/07/2022 13:09,202205,LEEDS BRADFORD,1658567,127951826,301065,31383296
20/07/2022 13:09,202205,LONDON CITY,1606926,127951826,144549,31383296
20/07/2022 13:09,202205,ABERDEEN,1491379,127951826,691987,31383296
20/07/2022 13:09,202205,BELFAST CITY (GEORGE BEST),1194240,127951826,316090,31383296
20/07/2022 13:09,202205,DONCASTER SHEFFIELD,584448,127951826,196048,31383296
20/07/2022 13:09,202205,INVERNESS,569041,127951826,119142,31383296
20/07/2022 13:09,202205,SOUTHAMPTON,433422,127951826,85131,31383296
20/07/2022 13:09,202205,BOURNEMOUTH,417195,127951826,69700,31383296
20/07/2022 13:09,202205,CARDIFF WALES,337271,127951826,49918,31383296
20/07/2022 13:09,202205,EXETER,230729,127951826,34529,31383296
20/07/2022 13:09,202205,SUMBURGH,221333,127951826,123019,31383296
20/07/2022 13:09,202205,PRESTWICK,216933,127951826,46329,31383296
20/07/2022 13:09,202205,NORWICH,181002,127951826,80841,31383296
20/07/2022 13:09,202205,NEWQUAY,163537,127951826,27139,31383296
20/07/2022 13:09,202205,CITY OF DERRY (EGLINTON),116349,127951826,49900,31383296
20/07/2022 13:09,202205,TEESSIDE INTERNATIONAL AIRPORT,110138,127951826,19817,31383296
20/07/2022 13:09,202205,SOUTHEND,107684,127951826,78062,31383296
20/07/2022 13:09,202205,KIRKWALL,103411,127951826,41211,31383296
20/07/2022 13:09,202205,ISLES OF SCILLY (ST.MARYS),87098,127951826,47628,31383296
20/07/2022 13:09,202205,STORNOWAY,86610,127951826,28318,31383296
20/07/2022 13:09,202205,LANDS END (ST JUST),64064,127951826,37110,31383296
20/07/2022 13:09,202205,HUMBERSIDE,46758,127951826,19461,31383296
20/07/2022 13:09,202205,DUNDEE,29768,127951826,6176,31383296
20/07/2022 13:09,202205,BENBECULA,26702,127951826,10289,31383296
20/07/2022 13:09,202205,ISLAY,20064,127951826,5774,31383296
20/07/2022 13:09,202205,BARRA,12628,127951826,5883,31383296
20/07/2022 13:09,202205,TIREE,10670,127951826,4767,31383296
20/07/2022 13:09,202205,CAMPBELTOWN,4111,127951826,1697,31383296
20/07/2022 13:09,202205,BIGGIN HILL,3413,127951826,2126,31383296
20/07/2022 13:09,202205,LERWICK (TINGWALL),2843,127951826,1301,31383296
20/07/2022 13:09,202205,WICK JOHN O GROATS,1314,127951826,0,31383296
20/07/2022 13:09,202205,OXFORD (KIDLINGTON),391,127951826,679,31383296
20/07/2022 13:09,202205,LYDD,31,127951826,0,31383296
20/07/2022 13:09,202205,BLACKPOOL,0,127951826,6395,31383296
20/07/2022 13:09,202205,GLOUCESTERSHIRE,0,127951826,5,31383296
20/07/2022 13:09,202205,SCATSTA,0,127951826,3127,31383296

