rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
02/03/2022 11:20,202111,HEATHROW,17414521,57839901,27662212,92509177
02/03/2022 11:20,202111,STANSTED,6441878,57839901,9333902,92509177
02/03/2022 11:20,202111,GATWICK,5428216,57839901,13335819,92509177
02/03/2022 11:20,202111,MANCHESTER,5423487,57839901,8747625,92509177
02/03/2022 11:20,202111,LUTON,4269472,57839901,6719498,92509177
02/03/2022 11:20,202111,EDINBURGH,2673640,57839901,4434821,92509177
02/03/2022 11:20,202111,BIRMINGHAM,2218941,57839901,3597066,92509177
02/03/2022 11:20,202111,BELFAST INTERNATIONAL,2118129,57839901,2075890,92509177
02/03/2022 11:20,202111,BRISTOL,1864524,57839901,2733097,92509177
02/03/2022 11:20,202111,GLASGOW,1847259,57839901,2448336,92509177
02/03/2022 11:20,202111,LIVERPOOL (JOHN LENNON),1055536,57839901,1652126,92509177
02/03/2022 11:20,202111,ABERDEEN,1022679,57839901,1147975,92509177
02/03/2022 11:20,202111,NEWCASTLE,918690,57839901,1322605,92509177
02/03/2022 11:20,202111,EAST MIDLANDS INTERNATIONAL,766880,57839901,1092608,92509177
02/03/2022 11:20,202111,BELFAST CITY (GEORGE BEST),752553,57839901,670109,92509177
02/03/2022 11:20,202111,LEEDS BRADFORD,676896,57839901,923950,92509177
02/03/2022 11:20,202111,LONDON CITY,644087,57839901,1265720,92509177
02/03/2022 11:20,202111,INVERNESS,323030,57839901,298557,92509177
02/03/2022 11:20,202111,DONCASTER SHEFFIELD,280062,57839901,404088,92509177
02/03/2022 11:20,202111,SOUTHAMPTON,237158,57839901,409954,92509177
02/03/2022 11:20,202111,BOURNEMOUTH,183541,57839901,217731,92509177
02/03/2022 11:20,202111,SUMBURGH,175668,57839901,120176,92509177
02/03/2022 11:20,202111,NORWICH,121807,57839901,141395,92509177
02/03/2022 11:20,202111,EXETER,113428,57839901,206895,92509177
02/03/2022 11:20,202111,CARDIFF WALES,108171,57839901,295747,92509177
02/03/2022 11:20,202111,NEWQUAY,101518,57839901,91483,92509177
02/03/2022 11:20,202111,SOUTHEND,95611,57839901,548718,92509177
02/03/2022 11:20,202111,PRESTWICK,72431,57839901,110061,92509177
02/03/2022 11:20,202111,ISLES OF SCILLY (ST.MARYS),71953,57839901,43135,92509177
02/03/2022 11:20,202111,KIRKWALL,71317,57839901,62501,92509177
02/03/2022 11:20,202111,CITY OF DERRY (EGLINTON),67647,57839901,92949,92509177
02/03/2022 11:20,202111,TEESSIDE INTERNATIONAL AIRPORT,67289,57839901,36205,92509177
02/03/2022 11:20,202111,STORNOWAY,56222,57839901,50524,92509177
02/03/2022 11:20,202111,LANDS END (ST JUST),52916,57839901,35440,92509177
02/03/2022 11:20,202111,HUMBERSIDE,28221,57839901,57542,92509177
02/03/2022 11:20,202111,BENBECULA,19156,57839901,14280,92509177
02/03/2022 11:20,202111,DUNDEE,17890,57839901,9782,92509177
02/03/2022 11:20,202111,ISLAY,11973,57839901,10041,92509177
02/03/2022 11:20,202111,BARRA,9471,57839901,6740,92509177
02/03/2022 11:20,202111,TIREE,7882,57839901,5629,92509177
02/03/2022 11:20,202111,CAMPBELTOWN,2729,57839901,2420,92509177
02/03/2022 11:20,202111,BIGGIN HILL,2586,57839901,1788,92509177
02/03/2022 11:20,202111,LERWICK (TINGWALL),2249,57839901,1265,92509177
02/03/2022 11:20,202111,OXFORD (KIDLINGTON),556,57839901,514,92509177
02/03/2022 11:20,202111,LYDD,31,57839901,0,92509177
02/03/2022 11:20,202111,BLACKPOOL,0,57839901,12897,92509177
02/03/2022 11:20,202111,DURHAM TEES VALLEY,0,57839901,10810,92509177
02/03/2022 11:20,202111,GLOUCESTERSHIRE,0,57839901,5,92509177
02/03/2022 11:20,202111,SCATSTA,0,57839901,43791,92509177
02/03/2022 11:20,202111,WICK JOHN O GROATS,0,57839901,2755,92509177

