rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
15/02/2022 16:49,202110,HEATHROW,15095701,49774190,33148841,110750737
15/02/2022 16:49,202110,STANSTED,5417056,49774190,11061060,110750737
15/02/2022 16:49,202110,MANCHESTER,4606490,49774190,10406283,110750737
15/02/2022 16:49,202110,GATWICK,4559291,49774190,16200200,110750737
15/02/2022 16:49,202110,LUTON,3826484,49774190,7754649,110750737
15/02/2022 16:49,202110,EDINBURGH,2226546,49774190,5362718,110750737
15/02/2022 16:49,202110,BIRMINGHAM,1875892,49774190,4353260,110750737
15/02/2022 16:49,202110,BELFAST INTERNATIONAL,1857081,49774190,2436516,110750737
15/02/2022 16:49,202110,BRISTOL,1575534,49774190,3238713,110750737
15/02/2022 16:49,202110,GLASGOW,1553949,49774190,2978009,110750737
15/02/2022 16:49,202110,ABERDEEN,958312,49774190,1311839,110750737
15/02/2022 16:49,202110,LIVERPOOL (JOHN LENNON),916453,49774190,1955737,110750737
15/02/2022 16:49,202110,NEWCASTLE,779769,49774190,1607637,110750737
15/02/2022 16:49,202110,BELFAST CITY (GEORGE BEST),681797,49774190,819451,110750737
15/02/2022 16:49,202110,EAST MIDLANDS INTERNATIONAL,669131,49774190,1286366,110750737
15/02/2022 16:49,202110,LEEDS BRADFORD,575048,49774190,1125824,110750737
15/02/2022 16:49,202110,LONDON CITY,506031,49774190,1672461,110750737
15/02/2022 16:49,202110,INVERNESS,286560,49774190,355885,110750737
15/02/2022 16:49,202110,DONCASTER SHEFFIELD,249888,49774190,466944,110750737
15/02/2022 16:49,202110,SOUTHAMPTON,206842,49774190,526465,110750737
15/02/2022 16:49,202110,SUMBURGH,168867,49774190,127097,110750737
15/02/2022 16:49,202110,BOURNEMOUTH,159167,49774190,253771,110750737
15/02/2022 16:49,202110,NORWICH,115896,49774190,162497,110750737
15/02/2022 16:49,202110,EXETER,97672,49774190,264939,110750737
15/02/2022 16:49,202110,NEWQUAY,97278,49774190,115558,110750737
15/02/2022 16:49,202110,SOUTHEND,96801,49774190,680272,110750737
15/02/2022 16:49,202110,CARDIFF WALES,89382,49774190,374577,110750737
15/02/2022 16:49,202110,ISLES OF SCILLY (ST.MARYS),69904,49774190,44716,110750737
15/02/2022 16:49,202110,KIRKWALL,67290,49774190,70712,110750737
15/02/2022 16:49,202110,CITY OF DERRY (EGLINTON),66289,49774190,105374,110750737
15/02/2022 16:49,202110,PRESTWICK,61682,49774190,129449,110750737
15/02/2022 16:49,202110,TEESSIDE INTERNATIONAL AIRPORT,61338,49774190,35197,110750737
15/02/2022 16:49,202110,STORNOWAY,51338,49774190,58981,110750737
15/02/2022 16:49,202110,LANDS END (ST JUST),51328,49774190,36798,110750737
15/02/2022 16:49,202110,HUMBERSIDE,25696,49774190,70289,110750737
15/02/2022 16:49,202110,BENBECULA,17986,49774190,16207,110750737
15/02/2022 16:49,202110,DUNDEE,15800,49774190,11187,110750737
15/02/2022 16:49,202110,ISLAY,10951,49774190,11701,110750737
15/02/2022 16:49,202110,BARRA,9199,49774190,7362,110750737
15/02/2022 16:49,202110,TIREE,7577,49774190,6077,110750737
15/02/2022 16:49,202110,CAMPBELTOWN,2739,49774190,2838,110750737
15/02/2022 16:49,202110,BIGGIN HILL,2557,49774190,1868,110750737
15/02/2022 16:49,202110,LERWICK (TINGWALL),2226,49774190,1365,110750737
15/02/2022 16:49,202110,BLACKPOOL,785,49774190,13398,110750737
15/02/2022 16:49,202110,OXFORD (KIDLINGTON),556,49774190,514,110750737
15/02/2022 16:49,202110,LYDD,31,49774190,0,110750737
15/02/2022 16:49,202110,DURHAM TEES VALLEY,0,49774190,22083,110750737
15/02/2022 16:49,202110,GLOUCESTERSHIRE,0,49774190,5,110750737
15/02/2022 16:49,202110,SCATSTA,0,49774190,53424,110750737
15/02/2022 16:49,202110,WICK JOHN O GROATS,0,49774190,3623,110750737

