rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
10/02/2022 11:25,202109,HEATHROW,13297951,42227948,38897545,132794877
10/02/2022 11:25,202109,STANSTED,4474459,42227948,13149354,132794877
10/02/2022 11:25,202109,GATWICK,3829297,42227948,19760701,132794877
10/02/2022 11:25,202109,MANCHESTER,3802098,42227948,12505365,132794877
10/02/2022 11:25,202109,LUTON,3363251,42227948,9114704,132794877
10/02/2022 11:25,202109,EDINBURGH,1803157,42227948,6506674,132794877
10/02/2022 11:25,202109,BELFAST INTERNATIONAL,1595560,42227948,2844766,132794877
10/02/2022 11:25,202109,BIRMINGHAM,1518171,42227948,5312158,132794877
10/02/2022 11:25,202109,GLASGOW,1273471,42227948,3642038,132794877
10/02/2022 11:25,202109,BRISTOL,1235703,42227948,3916063,132794877
10/02/2022 11:25,202109,ABERDEEN,889220,42227948,1510931,132794877
10/02/2022 11:25,202109,LIVERPOOL (JOHN LENNON),765801,42227948,2349980,132794877
10/02/2022 11:25,202109,NEWCASTLE,612636,42227948,2019764,132794877
10/02/2022 11:25,202109,BELFAST CITY (GEORGE BEST),607039,42227948,989280,132794877
10/02/2022 11:25,202109,EAST MIDLANDS INTERNATIONAL,522078,42227948,1643148,132794877
10/02/2022 11:25,202109,LEEDS BRADFORD,439327,42227948,1458672,132794877
10/02/2022 11:25,202109,LONDON CITY,375108,42227948,2117117,132794877
10/02/2022 11:25,202109,INVERNESS,248669,42227948,425236,132794877
10/02/2022 11:25,202109,DONCASTER SHEFFIELD,211445,42227948,578291,132794877
10/02/2022 11:25,202109,SOUTHAMPTON,173535,42227948,658175,132794877
10/02/2022 11:25,202109,SUMBURGH,161517,42227948,140340,132794877
10/02/2022 11:25,202109,BOURNEMOUTH,119248,42227948,326915,132794877
10/02/2022 11:25,202109,NORWICH,108968,42227948,206177,132794877
10/02/2022 11:25,202109,NEWQUAY,90836,42227948,146512,132794877
10/02/2022 11:25,202109,SOUTHEND,78581,42227948,878060,132794877
10/02/2022 11:25,202109,EXETER,76651,42227948,351887,132794877
10/02/2022 11:25,202109,CARDIFF WALES,73228,42227948,503363,132794877
10/02/2022 11:25,202109,ISLES OF SCILLY (ST.MARYS),68738,42227948,43895,132794877
10/02/2022 11:25,202109,KIRKWALL,62175,42227948,80292,132794877
10/02/2022 11:25,202109,CITY OF DERRY (EGLINTON),62168,42227948,119944,132794877
10/02/2022 11:25,202109,TEESSIDE INTERNATIONAL AIRPORT,51535,42227948,33190,132794877
10/02/2022 11:25,202109,LANDS END (ST JUST),50467,42227948,36102,132794877
10/02/2022 11:25,202109,PRESTWICK,49008,42227948,192650,132794877
10/02/2022 11:25,202109,STORNOWAY,46385,42227948,68118,132794877
10/02/2022 11:25,202109,HUMBERSIDE,24703,42227948,84786,132794877
10/02/2022 11:25,202109,BENBECULA,16443,42227948,18587,132794877
10/02/2022 11:25,202109,DUNDEE,13796,42227948,12157,132794877
10/02/2022 11:25,202109,ISLAY,9703,42227948,14226,132794877
10/02/2022 11:25,202109,BARRA,8918,42227948,8064,132794877
10/02/2022 11:25,202109,TIREE,7198,42227948,6483,132794877
10/02/2022 11:25,202109,CAMPBELTOWN,2931,42227948,3278,132794877
10/02/2022 11:25,202109,BIGGIN HILL,2286,42227948,2008,132794877
10/02/2022 11:25,202109,LERWICK (TINGWALL),2130,42227948,1620,132794877
10/02/2022 11:25,202109,BLACKPOOL,1637,42227948,13561,132794877
10/02/2022 11:25,202109,OXFORD (KIDLINGTON),686,42227948,384,132794877
10/02/2022 11:25,202109,LYDD,31,42227948,0,132794877
10/02/2022 11:25,202109,GLOUCESTERSHIRE,5,42227948,0,132794877
10/02/2022 11:25,202109,DURHAM TEES VALLEY,0,42227948,35050,132794877
10/02/2022 11:25,202109,SCATSTA,0,42227948,62524,132794877
10/02/2022 11:25,202109,WICK JOHN O GROATS,0,42227948,4742,132794877

