Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
28/06/2022 14:50:22,      202204,202104,London Area Airports,GATWICK,"2,525,439","1,794,186","77,996","1,872,182","20,759",8918.6521509,"592,636","60,621","653,257","12,350",5189.5303644
28/06/2022 14:50:22,      202204,202104,London Area Airports,HEATHROW,"4,755,926","1,917,256","2,275","1,919,531","173,087",1008.9977872,"2,834,370","2,025","2,836,395","298,021",851.7433335
28/06/2022 14:50:22,      202204,202104,London Area Airports,LONDON CITY,"203,540","167,056",0,"167,056","6,277",2561.3987574,"36,484",0,"36,484",0,0.0000000
28/06/2022 14:50:22,      202204,202104,London Area Airports,LUTON,"1,094,532","931,066","8,054","939,120","83,217",1028.5194131,"155,267",145,"155,412","16,469",843.6638533
28/06/2022 14:50:22,      202204,202104,London Area Airports,STANSTED,"1,955,676","1,775,770","10,562","1,786,332","63,168",2727.9065350,"167,094","2,250","169,344","9,953",1601.4367527
28/06/2022 14:50:22,      202204,202104,Other UK Airports,ABERDEEN,"71,462","32,367","2,767","35,134","4,442",690.9500225,"8,780","27,548","36,328","29,369",23.6950526
28/06/2022 14:50:22,      202204,202104,Other UK Airports,BELFAST CITY (GEORGE BEST),"3,915","3,906",0,"3,906",404,866.8316832,0,9,9,0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,BELFAST INTERNATIONAL,"118,272","109,016",945,"109,961",61,180163.9344262,"8,250",61,"8,311",157,5193.6305732
28/06/2022 14:50:22,      202204,202104,Other UK Airports,BIGGIN HILL,251,0,210,210,72,191.6666667,0,41,41,24,70.8333333
28/06/2022 14:50:22,      202204,202104,Other UK Airports,BIRMINGHAM,"672,180","477,413","48,518","525,931","14,347",3565.7907576,"122,666","23,583","146,249","3,843",3705.5945876
28/06/2022 14:50:22,      202204,202104,Other UK Airports,BOURNEMOUTH,"60,578","50,679","9,899","60,578",0,0.0000000,0,0,0,0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,BRISTOL,"552,449","480,104","22,182","502,286","1,620",30905.3086420,"49,186",977,"50,163",0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,CARDIFF WALES,"52,276","36,632","15,543","52,175",293,17707.1672355,0,101,101,0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,DONCASTER SHEFFIELD,"81,676","54,361","22,449","76,810","3,910",1864.4501279,"3,390","1,476","4,866",4,121550.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,DUNDEE,13,0,13,13,0,0.0000000,0,0,0,0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"245,153","219,801","15,668","235,469",0,0.0000000,"8,724",960,"9,684",0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,EDINBURGH,"675,066","580,980","6,996","587,976","6,806",8539.0831619,"86,239",851,"87,090",915,9418.0327869
28/06/2022 14:50:22,      202204,202104,Other UK Airports,EXETER,"15,309","5,459","9,850","15,309",172,8800.5813953,0,0,0,0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,GLASGOW,"277,840","211,263","22,174","233,437","2,380",9708.2773109,"44,075",328,"44,403",0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,HUMBERSIDE,"3,827","2,946",153,"3,099",170,1722.9411765,0,728,728,811,-10.2342787
28/06/2022 14:50:22,      202204,202104,Other UK Airports,INVERNESS,"3,278","3,278",0,"3,278",0,0.0000000,0,0,0,0,0.0000000
28/06/2022 14:50:22,      202204,202104,Other UK Airports,KIRKWALL,6,6,0,6,0,0.0000000,0,0,0,0,0.0000000
