Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
18/02/2022 13:05:53,      202112,202012,London Area Airports,GATWICK,"863,246","523,871","54,112","577,983","122,818",370.6012148,"252,698","32,565","285,263","56,516",404.7473282
18/02/2022 13:05:53,      202112,202012,London Area Airports,HEATHROW,"2,872,998","813,138","2,049","815,187","348,372",133.9990011,"2,054,287","3,524","2,057,811","708,990",190.2454195
18/02/2022 13:05:53,      202112,202012,London Area Airports,LONDON CITY,"55,562","46,214",0,"46,214","7,992",478.2532533,"9,348",0,"9,348",154,5970.1298701
18/02/2022 13:05:53,      202112,202012,London Area Airports,LUTON,"527,087","435,419","3,053","438,472","147,474",197.3215618,"88,615",0,"88,615","33,999",160.6400188
18/02/2022 13:05:53,      202112,202012,London Area Airports,SOUTHEND,0,0,0,0,"1,244",0.0000000,0,0,0,0,0.0000000
18/02/2022 13:05:53,      202112,202012,London Area Airports,STANSTED,"848,007","745,143","10,574","755,717","156,631",382.4823949,"92,121",169,"92,290","27,922",230.5278991
18/02/2022 13:05:53,      202112,202012,Other UK Airports,ABERDEEN,"46,998","16,577","2,695","19,272","8,404",129.3193717,"4,005","23,721","27,726","28,359",-2.2320956
18/02/2022 13:05:53,      202112,202012,Other UK Airports,BELFAST CITY (GEORGE BEST),"2,007","2,007",0,"2,007",436,360.3211009,0,0,0,11,0.0000000
18/02/2022 13:05:53,      202112,202012,Other UK Airports,BELFAST INTERNATIONAL,"28,630","26,087","2,111","28,198","5,957",373.3590734,420,12,432,211,104.7393365
18/02/2022 13:05:53,      202112,202012,Other UK Airports,BIGGIN HILL,226,0,162,162,66,145.4545455,0,64,64,16,300.0000000
18/02/2022 13:05:53,      202112,202012,Other UK Airports,BIRMINGHAM,"278,483","184,798","27,169","211,967","48,111",340.5790775,"58,605","7,911","66,516","20,708",221.2091945
