Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
13/04/2022 11:52:12,      202202,202102,London Area Airports,GATWICK,"1,105,354","675,555","61,052","736,607","13,481",5364.0382761,"331,827","36,920","368,747","9,834",3649.7152735
13/04/2022 11:52:12,      202202,202102,London Area Airports,HEATHROW,"2,642,317","886,022","3,475","889,497","118,057",653.4470637,"1,749,442","3,378","1,752,820","290,931",502.4865002
13/04/2022 11:52:12,      202202,202102,London Area Airports,LONDON CITY,"89,186","67,639",0,"67,639","3,160",2040.4746835,"21,547",0,"21,547",0,0.0000000
13/04/2022 11:52:12,      202202,202102,London Area Airports,LUTON,"553,639","431,178","2,922","434,100","76,679",466.1263188,"119,539",0,"119,539","17,416",586.3745981
13/04/2022 11:52:12,      202202,202102,London Area Airports,STANSTED,"1,100,202","980,322","11,494","991,816","23,630",4097.2746509,"107,173","1,213","108,386","10,234",959.0775845
13/04/2022 11:52:12,      202202,202102,Other UK Airports,ABERDEEN,"45,985","14,242","2,543","16,785",570,2844.7368421,"5,994","23,206","29,200","23,479",24.3664551
13/04/2022 11:52:12,      202202,202102,Other UK Airports,BELFAST CITY (GEORGE BEST),"1,055","1,055",0,"1,055",0,0.0000000,0,0,0,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,BELFAST INTERNATIONAL,"51,109","43,614","2,615","46,229",0,0.0000000,"4,530",350,"4,880",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,BIGGIN HILL,217,0,106,106,90,17.7777778,0,111,111,6,1750.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,BIRMINGHAM,"363,470","248,376","28,301","276,677","5,709",4746.3303556,"77,367","9,426","86,793","1,432",5960.9636872
13/04/2022 11:52:12,      202202,202102,Other UK Airports,BOURNEMOUTH,"31,580","19,997","6,369","26,366",0,0.0000000,"4,308",906,"5,214",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,BRISTOL,"286,851","232,917","16,177","249,094",0,0.0000000,"34,335","3,422","37,757",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,CARDIFF WALES,"17,312","9,616","7,262","16,878",716,2257.2625698,0,434,434,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,DONCASTER SHEFFIELD,"30,761","14,928","13,563","28,491","3,540",704.8305085,0,"2,270","2,270",2,113400.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"106,053","95,317","7,884","103,201",68,151666.1764706,"2,852",0,"2,852",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,EDINBURGH,"321,652","268,582","16,371","284,953","3,762",7474.5082403,"36,699",0,"36,699","2,052",1688.4502924
13/04/2022 11:52:12,      202202,202102,Other UK Airports,EXETER,"9,531","2,040","7,491","9,531",0,0.0000000,0,0,0,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,GLASGOW,"132,784","98,446","8,039","106,485",692,15288.0057803,"24,767","1,532","26,299",23,114243.4782609
13/04/2022 11:52:12,      202202,202102,Other UK Airports,HUMBERSIDE,"1,656",641,0,641,38,1586.8421053,0,"1,015","1,015",677,49.9261448
13/04/2022 11:52:12,      202202,202102,Other UK Airports,INVERNESS,565,565,0,565,0,0.0000000,0,0,0,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,LEEDS BRADFORD,"104,412","95,608",72,"95,680",0,0.0000000,"8,732",0,"8,732",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,LIVERPOOL (JOHN LENNON),"115,342","103,358",488,"103,846","3,778",2648.7030175,"11,270",226,"11,496",465,2372.2580645
13/04/2022 11:52:12,      202202,202102,Other UK Airports,MANCHESTER,"1,042,620","639,812","50,623","690,435","20,405",3283.6559667,"313,445","38,740","352,185","41,513",748.3727989
13/04/2022 11:52:12,      202202,202102,Other UK Airports,NEWCASTLE,"108,792","93,969",27,"93,996",25,375884.0000000,"14,579",217,"14,796",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,NEWQUAY,"1,849","1,849",0,"1,849",0,0.0000000,0,0,0,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,NORWICH,"8,317","1,331","1,204","2,535",0,0.0000000,0,"5,782","5,782","4,200",37.6666667
13/04/2022 11:52:12,      202202,202102,Other UK Airports,PRESTWICK,"13,916","13,599",317,"13,916",1,1391500.0000000,0,0,0,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,SOUTHAMPTON,"6,175","3,310",0,"3,310",0,0.0000000,"2,865",0,"2,865",0,0.0000000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,SUMBURGH,"4,749",0,0,0,0,0.0000000,0,"4,749","4,749","4,800",-1.0625000
13/04/2022 11:52:12,      202202,202102,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"2,748","2,748",0,"2,748",0,0.0000000,0,0,0,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Non UK Reporting Airports,GUERNSEY,701,335,140,475,22,2059.0909091,226,0,226,0,0.0000000
13/04/2022 11:52:12,      202202,202102,Non UK Reporting Airports,JERSEY,"1,404",0,"1,404","1,404",119,1079.8319328,0,0,0,0,0.0000000

