Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
06/10/2022 17:01:25,      202207,202107,London Area Airports,GATWICK,"3,581,973","2,469,577","219,823","2,689,400","291,282",823.2976978,"804,653","87,920","892,573","55,964",1494.9056536
06/10/2022 17:01:25,      202207,202107,London Area Airports,HEATHROW,"6,022,647","2,222,588",171,"2,222,759","639,971",247.3218318,"3,798,323","1,565","3,799,888","688,613",451.8176392
06/10/2022 17:01:25,      202207,202107,London Area Airports,LONDON CITY,"267,861","234,226",0,"234,226","27,853",740.9363444,"33,635",0,"33,635",0,0.0000000
06/10/2022 17:01:25,      202207,202107,London Area Airports,LUTON,"1,338,461","1,150,332","16,499","1,166,831","296,524",293.5030554,"166,707","4,923","171,630","59,075",190.5289886
06/10/2022 17:01:25,      202207,202107,London Area Airports,SOUTHEND,"16,163","16,059",0,"16,059","14,479",10.9123558,104,0,104,0,0.0000000
06/10/2022 17:01:25,      202207,202107,London Area Airports,STANSTED,"2,393,529","2,113,628","34,971","2,148,599","599,552",258.3674143,"233,110","11,820","244,930","40,319",507.4803443
06/10/2022 17:01:25,      202207,202107,Other UK Airports,ABERDEEN,"95,938","40,506","12,471","52,977","10,614",399.1237988,"8,812","34,149","42,961","32,264",33.1545996
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BELFAST CITY (GEORGE BEST),"9,602","7,619","1,983","9,602","13,084",-26.6126567,0,0,0,0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BELFAST INTERNATIONAL,"201,219","166,228","22,668","188,896","21,580",775.3290083,"10,603","1,720","12,323",315,3812.0634921
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BIGGIN HILL,793,0,685,685,166,312.6506024,0,108,108,36,200.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BIRMINGHAM,"1,008,871","642,065","156,115","798,180","143,864",454.8156592,"155,300","55,391","210,691","6,749",3021.8106386
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BLACKPOOL,"1,169",0,0,0,0,0.0000000,0,"1,169","1,169",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BOURNEMOUTH,"97,148","70,431","23,684","94,115","13,038",621.8515110,0,"3,033","3,033",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,BRISTOL,"823,407","649,809","86,487","736,296","101,613",624.6080718,"70,471","16,640","87,111",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,CARDIFF WALES,"118,706","54,932","55,086","110,018","9,432",1066.4334182,0,"8,688","8,688",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,CITY OF DERRY (EGLINTON),"2,467",0,"2,467","2,467",0,0.0000000,0,0,0,0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,DONCASTER SHEFFIELD,"136,151","35,525","74,837","110,362","18,655",491.5947467,"4,503","21,286","25,789",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,DUNDEE,41,0,18,18,8,125.0000000,0,23,23,0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"408,205","324,449","62,240","386,689","68,684",462.9972046,"16,829","4,687","21,516",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,EDINBURGH,"976,458","770,979","7,693","778,672","95,079",718.9736956,"194,155","3,631","197,786","3,739",5189.8101097
06/10/2022 17:01:25,      202207,202107,Other UK Airports,EXETER,"31,432","8,220","20,668","28,888","1,288",2142.8571429,0,"2,544","2,544",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,GLASGOW,"463,058","301,355","53,821","355,176","39,960",788.8288288,"91,235","16,647","107,882",119,90557.1428571
06/10/2022 17:01:25,      202207,202107,Other UK Airports,HUMBERSIDE,"8,407","5,000","2,477","7,477",732,921.4480874,0,930,930,"1,154",-19.4107452
06/10/2022 17:01:25,      202207,202107,Other UK Airports,INVERNESS,"11,007","10,990",11,"11,001",730,1406.9863014,0,6,6,0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,KIRKWALL,,0,0,0,0,0.0000000,0,,0,44,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,LEEDS BRADFORD,"397,336","366,009","6,265","372,274","55,312",573.0438241,"25,062",0,"25,062",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,LIVERPOOL (JOHN LENNON),"313,996","296,806","2,098","298,904","69,308",331.2691176,"14,745",347,"15,092","1,255",1102.5498008
06/10/2022 17:01:25,      202207,202107,Other UK Airports,MANCHESTER,"2,478,223","1,574,210","216,746","1,790,956","347,904",414.7845383,"607,084","80,183","687,267","26,186",2524.5589246
06/10/2022 17:01:25,      202207,202107,Other UK Airports,NEWCASTLE,"442,827","365,744",201,"365,945","48,558",653.6245315,"76,759",123,"76,882",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,NEWQUAY,"10,537","9,501",0,"9,501",822,1055.8394161,"1,036",0,"1,036",0,0.0000000
06/10/2022 17:01:25,      202207,202107,Other UK Airports,NORWICH,"32,344","7,271","15,786","23,057","1,403",1543.4069850,0,"9,287","9,287","7,172",29.4896821
06/10/2022 17:01:25,      202207,202107,Other UK Airports,OXFORD (KIDLINGTON),,,0,0,50,0.0000000,0,0,0,0,0.0000000
