Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
16/08/2022 18:14:01,      202206,202106,London Area Airports,GATWICK,"3,229,034","2,254,731","198,800","2,453,531","110,805",2114.2782365,"690,504","84,999","775,503","26,069",2874.8091603
16/08/2022 18:14:01,      202206,202106,London Area Airports,HEATHROW,"5,642,410","2,251,583",0,"2,251,583","354,584",534.9928367,"3,388,568","2,259","3,390,827","447,324",658.0248321
16/08/2022 18:14:01,      202206,202106,London Area Airports,LONDON CITY,"251,912","217,677",0,"217,677","8,493",2463.0166019,"34,235",0,"34,235",195,17456.4102564
16/08/2022 18:14:01,      202206,202106,London Area Airports,LUTON,"1,260,344","1,080,309","16,828","1,097,137","168,275",551.9904918,"158,612","4,595","163,207","43,390",276.1396635
16/08/2022 18:14:01,      202206,202106,London Area Airports,SOUTHEND,"15,367","15,367",0,"15,367","4,523",239.7523767,0,0,0,0,0.0000000
16/08/2022 18:14:01,      202206,202106,London Area Airports,STANSTED,"2,262,155","2,014,776","33,477","2,048,253","297,840",587.7024577,"204,160","9,742","213,902","14,308",1394.9818283
16/08/2022 18:14:01,      202206,202106,Other UK Airports,ABERDEEN,"93,519","37,519","11,680","49,199","8,932",450.8172862,"10,212","34,108","44,320","30,905",43.4072157
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BELFAST CITY (GEORGE BEST),"6,853","6,432",305,"6,737","6,035",11.6321458,0,116,116,0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BELFAST INTERNATIONAL,"184,241","153,830","19,885","173,715","5,345",3150.0467727,"9,094","1,432","10,526",44,23822.7272727
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BIGGIN HILL,248,0,201,201,170,18.2352941,0,47,47,14,235.7142857
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BIRMINGHAM,"956,288","622,973","150,909","773,882","56,424",1271.5475684,"130,399","52,007","182,406","2,110",8544.8341232
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BLACKPOOL,"1,578",0,0,0,0,0.0000000,0,"1,578","1,578",0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BOURNEMOUTH,"87,349","61,289","23,327","84,616","5,919",1329.5658050,0,"2,733","2,733",0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,BRISTOL,"782,993","614,186","84,685","698,871","34,267",1939.4869700,"66,654","17,468","84,122",0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,CARDIFF WALES,"113,545","49,461","55,212","104,673","3,386",2991.3467218,0,"8,872","8,872",225,3843.1111111
16/08/2022 18:14:01,      202206,202106,Other UK Airports,CITY OF DERRY (EGLINTON),367,0,367,367,0,0.0000000,0,0,0,0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,DONCASTER SHEFFIELD,"130,247","37,355","73,476","110,831","12,938",756.6316278,"4,239","15,177","19,416",0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,DUNDEE,47,0,43,43,0,0.0000000,0,4,4,0,0.0000000
16/08/2022 18:14:01,      202206,202106,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"392,544","308,931","64,011","372,942","18,846",1878.8920726,"15,107","4,495","19,602",138,14104.3478261
16/08/2022 18:14:01,      202206,202106,Other UK Airports,EDINBURGH,"910,667","742,076","6,533","748,609","48,404",1446.5849930,"159,962","2,096","162,058","2,961",5373.0834178
