Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
20/05/2022 17:10:36,      202203,202103,London Area Airports,GATWICK,"1,543,622","989,505","67,909","1,057,414","15,103",6901.3507250,"440,976","45,232","486,208","9,910",4806.2361251
20/05/2022 17:10:36,      202203,202103,London Area Airports,HEATHROW,"3,890,492","1,393,260","3,901","1,397,161","140,232",896.3210965,"2,489,702","3,629","2,493,331","341,551",630.0025472
20/05/2022 17:10:36,      202203,202103,London Area Airports,LONDON CITY,"139,970","109,788",0,"109,788","3,261",3266.6973321,"30,132",50,"30,182",0,0.0000000
20/05/2022 17:10:36,      202203,202103,London Area Airports,LUTON,"762,088","625,985","5,579","631,564","81,015",679.5642782,"130,524",0,"130,524","14,421",805.0967339
20/05/2022 17:10:36,      202203,202103,London Area Airports,STANSTED,"1,431,634","1,285,838","10,784","1,296,622","28,823",4398.5671165,"134,346",666,"135,012","9,802",1277.3923689
20/05/2022 17:10:36,      202203,202103,Other UK Airports,ABERDEEN,"63,505","22,429","3,266","25,695","1,972",1202.9918864,"8,683","29,127","37,810","29,829",26.7558416
20/05/2022 17:10:36,      202203,202103,Other UK Airports,BELFAST CITY (GEORGE BEST),"2,421","2,362",59,"2,421",0,0.0000000,0,0,0,0,0.0000000
20/05/2022 17:10:36,      202203,202103,Other UK Airports,BELFAST INTERNATIONAL,"70,327","62,776","1,420","64,196",289,22113.1487889,"6,107",24,"6,131",0,0.0000000
20/05/2022 17:10:36,      202203,202103,Other UK Airports,BIGGIN HILL,100,0,63,63,83,-24.0963855,0,37,37,23,60.8695652
20/05/2022 17:10:36,      202203,202103,Other UK Airports,BIRMINGHAM,"493,950","347,597","32,465","380,062","7,758",4798.9688064,"98,261","15,627","113,888","3,502",3152.0845231
