Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
20/07/2022 13:56:01,      202205,202105,London Area Airports,GATWICK,"2,827,471","1,994,329","139,901","2,134,230","71,968",2865.5263450,"627,067","66,174","693,241","15,178",4467.4067730
20/07/2022 13:56:01,      202205,202105,London Area Airports,HEATHROW,"4,984,526","1,995,928",536,"1,996,464","257,951",673.9702502,"2,986,669","1,393","2,988,062","309,211",866.3504856
20/07/2022 13:56:01,      202205,202105,London Area Airports,LONDON CITY,"223,228","190,751",0,"190,751","7,372",2487.5067824,"32,477",0,"32,477",600,5312.8333333
20/07/2022 13:56:01,      202205,202105,London Area Airports,LUTON,"1,141,104","974,218","11,617","985,835","135,610",626.9633508,"153,623","1,646","155,269","27,950",455.5241503
20/07/2022 13:56:01,      202205,202105,London Area Airports,SOUTHEND,"13,871","13,871",0,"13,871",107,12863.5514019,0,0,0,0,0.0000000
20/07/2022 13:56:01,      202205,202105,London Area Airports,STANSTED,"2,074,821","1,860,408","21,434","1,881,842","111,429",1588.8260686,"185,780","7,199","192,979","7,678",2413.4019276
20/07/2022 13:56:01,      202205,202105,Other UK Airports,ABERDEEN,"87,533","36,081","9,239","45,320","6,110",641.7348609,"9,792","32,421","42,213","29,906",41.1522771
20/07/2022 13:56:01,      202205,202105,Other UK Airports,BELFAST CITY (GEORGE BEST),"4,929","4,919",10,"4,929",985,400.4060914,0,0,0,1,0.0000000
20/07/2022 13:56:01,      202205,202105,Other UK Airports,BELFAST INTERNATIONAL,"163,410","144,567","9,380","153,947",990,15450.2020202,"8,710",753,"9,463",0,0.0000000
20/07/2022 13:56:01,      202205,202105,Other UK Airports,BIGGIN HILL,325,0,287,287,166,72.8915663,0,38,38,7,442.8571429
20/07/2022 13:56:01,      202205,202105,Other UK Airports,BIRMINGHAM,"803,456","553,187","110,193","663,380","27,403",2320.8298361,"106,219","33,857","140,076","1,450",9560.4137931
20/07/2022 13:56:01,      202205,202105,Other UK Airports,BOURNEMOUTH,"73,726","53,033","20,334","73,367",835,8686.4670659,0,359,359,0,0.0000000
20/07/2022 13:56:01,      202205,202105,Other UK Airports,BRISTOL,"688,124","548,510","71,433","619,943","10,341",5895.0004835,"57,712","10,469","68,181",0,0.0000000
