Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
02/03/2022 11:56:25,      202111,202011,London Area Airports,GATWICK,"796,262","540,660","32,482","573,142","62,646",814.8900169,"204,180","18,940","223,120","20,707",977.5100208
02/03/2022 11:56:25,      202111,202011,London Area Airports,HEATHROW,"2,785,040","1,058,412",653,"1,059,065","239,911",341.4407843,"1,721,657","4,318","1,725,975","447,538",285.6599886
02/03/2022 11:56:25,      202111,202011,London Area Airports,LONDON CITY,"102,010","86,467",0,"86,467","5,632",1435.2805398,"15,543",0,"15,543",0,0.0000000
02/03/2022 11:56:25,      202111,202011,London Area Airports,LUTON,"486,083","406,713","2,795","409,508","82,835",394.3659081,"76,575",0,"76,575","21,360",258.4971910
02/03/2022 11:56:25,      202111,202011,London Area Airports,SOUTHEND,0,0,0,0,"1,190",0.0000000,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,London Area Airports,STANSTED,"1,128,445","1,026,208","4,391","1,030,599","134,252",667.6600721,"97,468",378,"97,846","22,138",341.9821122
02/03/2022 11:56:25,      202111,202011,Other UK Airports,ABERDEEN,"51,808","16,990","2,728","19,718","9,432",109.0542833,"5,756","26,334","32,090","26,447",21.3370136
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BELFAST CITY (GEORGE BEST),"2,851","2,811",38,"2,849",835,241.1976048,0,2,2,30,-93.3333333
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BELFAST INTERNATIONAL,"35,688","33,915",420,"34,335","7,093",384.0688002,"1,273",80,"1,353",0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BIGGIN HILL,100,0,80,80,27,196.2962963,0,20,20,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BIRMINGHAM,"331,846","252,236","23,012","275,248","37,709",629.9265427,"49,420","7,178","56,598","9,928",470.0846092
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BLACKPOOL,,0,0,0,0,0.0000000,0,,0,785,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BOURNEMOUTH,"26,638","19,486","7,152","26,638","2,350",1033.5319149,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,BRISTOL,"228,206","204,692","11,418","216,110","17,159",1159.4556792,"11,827",269,"12,096",0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,CARDIFF WALES,"19,346","9,049","9,926","18,975","2,050",825.6097561,0,371,371,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,DONCASTER SHEFFIELD,"36,801","21,765","15,036","36,801","6,200",493.5645161,0,0,0,177,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,DUNDEE,14,0,14,14,0,0.0000000,0,0,0,1,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"107,138","96,023","9,254","105,277","12,794",722.8622792,"1,739",122,"1,861",0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,EDINBURGH,"294,183","268,847","3,381","272,228","40,936",565.0087942,"21,284",671,"21,955","2,361",829.9025837
02/03/2022 11:56:25,      202111,202011,Other UK Airports,EXETER,"8,647","1,869","6,778","8,647",472,1731.9915254,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,GLASGOW,"135,614","104,302","10,856","115,158","21,646",432.0059133,"19,250","1,206","20,456","5,072",303.3123028
02/03/2022 11:56:25,      202111,202011,Other UK Airports,HUMBERSIDE,"2,827","1,213",0,"1,213",233,420.6008584,0,"1,614","1,614",538,200.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,INVERNESS,"1,583","1,583",0,"1,583",0,0.0000000,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,LEEDS BRADFORD,"104,699","99,113",629,"99,742","9,698",928.4800990,"4,957",0,"4,957",0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,LIVERPOOL (JOHN LENNON),"100,716","99,028",371,"99,399","13,452",638.9161463,825,492,"1,317",244,439.7540984
02/03/2022 11:56:25,      202111,202011,Other UK Airports,MANCHESTER,"886,480","613,427","42,385","655,812","97,672",571.4431976,"209,659","21,009","230,668","52,186",342.0112674
02/03/2022 11:56:25,      202111,202011,Other UK Airports,NEWCASTLE,"106,677","95,125",0,"95,125","12,685",649.9014584,"11,552",0,"11,552",0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,NEWQUAY,"2,011","2,011",0,"2,011",158,1172.7848101,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,NORWICH,"9,949","1,670","2,077","3,747",723,418.2572614,0,"6,202","6,202","5,453",13.7355584
02/03/2022 11:56:25,      202111,202011,Other UK Airports,PRESTWICK,"13,000","12,764",178,"12,942","2,247",475.9679573,0,58,58,3,1833.3333333
02/03/2022 11:56:25,      202111,202011,Other UK Airports,SOUTHAMPTON,"3,520","3,520",0,"3,520",198,1677.7777778,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Other UK Airports,SUMBURGH,"6,475",0,0,0,0,0.0000000,0,"6,475","6,475","5,142",25.9237651
02/03/2022 11:56:25,      202111,202011,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"3,438","3,438",0,"3,438",0,0.0000000,0,0,0,24,0.0000000
02/03/2022 11:56:25,      202111,202011,Non UK Reporting Airports,GUERNSEY,705,659,46,705,0,0.0000000,0,0,0,0,0.0000000
02/03/2022 11:56:25,      202111,202011,Non UK Reporting Airports,JERSEY,506,0,506,506,289,75.0865052,0,0,0,0,0.0000000

