Run_Date,This_Period,Last_Period,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_eu_shd_tp,total_pax_eu_cht_tp,total_pax_eu_tp,total_pax_eu_lp,total_pax_eu_pc,total_pax_oi_shd_tp,total_pax_oi_cht_tp,total_pax_oi_tp,total_pax_oi_lp,total_pax_oi_pc
28/10/2022 11:37:44,      202209,202109,London Area Airports,GATWICK,"3,371,947","2,365,811","187,613","2,553,424","756,610",237.4821903,"738,967","79,556","818,523","101,637",705.3395909
28/10/2022 11:37:44,      202209,202109,London Area Airports,HEATHROW,"5,494,998","2,086,847",0,"2,086,847","1,172,681",77.9552154,"3,405,778","2,373","3,408,151","1,170,711",191.1180471
28/10/2022 11:37:44,      202209,202109,London Area Airports,LONDON CITY,"245,339","207,105",0,"207,105","74,833",176.7562439,"38,234",0,"38,234","11,549",231.0589661
28/10/2022 11:37:44,      202209,202109,London Area Airports,LUTON,"1,248,986","1,063,293","15,233","1,078,526","548,813",96.5197617,"165,719","4,741","170,460","72,420",135.3769677
28/10/2022 11:37:44,      202209,202109,London Area Airports,SOUTHEND,"15,156","14,923",233,"15,156","23,581",-35.7279165,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,London Area Airports,STANSTED,"2,298,838","2,005,801","29,544","2,035,345","1,022,886",98.9806293,"251,848","11,645","263,493","42,904",514.1455342
28/10/2022 11:37:44,      202209,202109,Other UK Airports,ABERDEEN,"95,372","37,178","11,661","48,839","19,932",145.0280955,"11,820","34,713","46,533","33,584",38.5570510
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BELFAST CITY (GEORGE BEST),"4,846","4,216",630,"4,846","9,336",-48.0934019,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BELFAST INTERNATIONAL,"178,104","151,340","16,882","168,222","50,117",235.6585590,"9,165",717,"9,882","1,201",722.8143214
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BIGGIN HILL,302,0,260,260,249,4.4176707,0,42,42,20,110.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BIRMINGHAM,"979,972","638,564","146,084","784,648","325,837",140.8099755,"142,190","53,134","195,324","18,409",961.0244989
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BLACKPOOL,"1,497",0,0,0,0,0.0000000,0,"1,497","1,497",0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BOURNEMOUTH,"89,054","63,168","22,895","86,063","33,158",159.5542554,0,"2,991","2,991",0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,BRISTOL,,0,0,0,"272,131",0.0000000,0,0,0,"2,921",0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,CARDIFF WALES,"106,199","42,831","53,905","96,736","21,548",348.9326156,0,"9,463","9,463",74,12687.8378378
28/10/2022 11:37:44,      202209,202109,Other UK Airports,DONCASTER SHEFFIELD,"138,721","36,713","79,118","115,831","54,959",110.7589294,"4,520","18,370","22,890",0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,DUNDEE,,0,0,0,4,0.0000000,0,0,0,1,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"362,851","280,120","61,084","341,204","158,695",115.0061439,"17,047","4,600","21,647",797,2616.0602258
28/10/2022 11:37:44,      202209,202109,Other UK Airports,EDINBURGH,"910,729","738,579","6,885","745,464","239,192",211.6592528,"163,483","1,782","165,265","12,699",1201.4016852
28/10/2022 11:37:44,      202209,202109,Other UK Airports,EXETER,"29,307","5,103","21,388","26,491","6,627",299.7434737,0,"2,816","2,816",0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,GLASGOW,"418,139","279,657","49,540","329,197","103,741",217.3258403,"66,994","21,948","88,942","10,567",741.6958456
28/10/2022 11:37:44,      202209,202109,Other UK Airports,HUMBERSIDE,"9,271","5,696","2,654","8,350",911,816.5751921,0,921,921,"1,629",-43.4622468
28/10/2022 11:37:44,      202209,202109,Other UK Airports,INVERNESS,,,0,0,"2,471",0.0000000,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,KIRKWALL,13,0,0,0,0,0.0000000,0,13,13,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,LEEDS BRADFORD,"371,996","341,764","5,377","347,141","132,860",161.2833057,"24,855",0,"24,855","1,121",2117.2167707
28/10/2022 11:37:44,      202209,202109,Other UK Airports,LIVERPOOL (JOHN LENNON),"290,811","274,764","1,493","276,257","137,032",101.6003561,"14,384",170,"14,554","1,578",822.3067174
28/10/2022 11:37:44,      202209,202109,Other UK Airports,MANCHESTER,"2,416,456","1,538,967","212,484","1,751,451","779,369",124.7267982,"582,901","82,104","665,005","100,860",559.3347214
28/10/2022 11:37:44,      202209,202109,Other UK Airports,NEWCASTLE,"421,447","356,403",112,"356,515","133,331",167.3909293,"64,932",0,"64,932","1,025",6234.8292683
28/10/2022 11:37:44,      202209,202109,Other UK Airports,NEWQUAY,"9,202","8,444",170,"8,614","2,644",225.7942511,588,0,588,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,NORWICH,"36,262","9,420","17,304","26,724","3,828",598.1191223,0,"9,538","9,538","6,290",51.6375199
28/10/2022 11:37:44,      202209,202109,Other UK Airports,OXFORD (KIDLINGTON),,,0,0,50,0.0000000,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,PRESTWICK,,,0,0,"16,303",0.0000000,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,SOUTHAMPTON,"15,817","15,042",775,"15,817","8,677",82.2865046,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,SUMBURGH,,0,0,0,0,0.0000000,0,,0,"6,081",0.0000000
28/10/2022 11:37:44,      202209,202109,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,"18,381","15,627","2,754","18,381","5,142",257.4679113,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Non UK Reporting Airports,GUERNSEY,"2,022","1,996",10,"2,006",75,2574.6666667,16,0,16,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Non UK Reporting Airports,ISLE OF MAN,"3,458","2,788",670,"3,458",0,0.0000000,0,0,0,0,0.0000000
28/10/2022 11:37:44,      202209,202109,Non UK Reporting Airports,JERSEY,"6,043","3,356","2,643","5,999","3,106",93.1423052,0,44,44,0,0.0000000

